serie,arquitectura,k,unidades,learning_rate,batch_size,dropout,epocas_efectivas,rmse_val_escalado,mae_val_escalado,tiempo_seg
region_america_central,M1,6,32,0.01,16,0.2,22,0.2738739517254967,0.1974833520155964,3.3
region_america_central,M1,6,32,0.001,16,0.2,23,0.28878545970211467,0.25614171009296355,3.3
region_america_central,M1,6,64,0.01,16,0.2,21,0.26470019345397133,0.19837042095353072,3.1
region_america_central,M1,6,64,0.001,16,0.2,25,0.28295481282757934,0.2014183603434748,3.0
region_america_central,M1,12,16,0.01,16,0.2,24,0.28586317206369893,0.20540465689788126,2.9
region_america_central,M1,12,16,0.001,16,0.2,22,0.2899065936191377,0.24556225813517832,3.6
region_america_central,M1,12,32,0.01,16,0.2,24,0.28449856550071745,0.2038979231480994,3.1
region_america_central,M1,12,32,0.001,16,0.2,23,0.3128380766351359,0.23930356926808619,2.9
region_america_central,M1,12,64,0.01,16,0.2,23,0.2734332102070302,0.22053175198127692,3.0
region_america_central,M1,12,64,0.001,16,0.2,24,0.3029252060893322,0.23118503170301383,3.5
region_america_central,M1,24,16,0.01,16,0.2,21,0.2857185932113372,0.22468770818998282,3.4
region_america_central,M1,24,16,0.001,16,0.2,22,0.2992635185580104,0.22343010233928626,3.2
region_america_central,M1,24,32,0.01,16,0.2,24,0.28185872192220657,0.2002827338280099,3.2
region_america_central,M1,24,32,0.001,16,0.2,26,0.3248291625670943,0.2247587761990759,3.3
region_america_central,M1,24,64,0.01,16,0.2,22,0.2609862000647807,0.19651864495962723,3.1
region_america_central,M1,24,64,0.001,16,0.2,21,0.30514975151845486,0.26256132525294884,3.1
region_america_central,M2,6,16,0.01,16,0.2,22,0.3085753806395467,0.2537571427284349,4.4
region_america_central,M2,6,16,0.001,16,0.2,24,0.30807319490908375,0.26389951910609183,4.6
region_america_central,M2,6,32,0.01,16,0.2,21,0.2936677836577693,0.24551901372363036,4.5
region_america_central,M2,6,32,0.001,16,0.2,22,0.2973864520249021,0.2338058727690564,3.7
region_america_central,M2,6,64,0.01,16,0.2,21,0.2933342779234525,0.2364293252635982,4.0
region_america_central,M2,6,64,0.001,16,0.2,25,0.31124262651812146,0.22879719636926912,4.0
region_america_central,M2,12,16,0.01,16,0.2,22,0.3370546813245611,0.2609711717235828,3.9
region_america_central,M2,12,16,0.001,16,0.2,23,0.34247103191010486,0.27951592494696853,5.1
region_america_central,M2,12,32,0.01,16,0.2,23,0.326604193912043,0.25543452234742886,4.7
region_america_central,M2,12,32,0.001,16,0.2,21,0.3336345786317202,0.3109533616009769,4.5
region_america_central,M2,12,64,0.01,16,0.2,21,0.32586608442967735,0.29877360071772513,4.5
region_america_central,M2,12,64,0.001,16,0.2,24,0.3465768819114024,0.27077598039955375,5.0
region_america_central,M2,24,16,0.01,16,0.2,21,0.34595559889875716,0.26152137474892384,4.7
region_america_central,M2,24,16,0.001,16,0.2,22,0.34891454651492937,0.3092501719402238,5.0
region_america_central,M2,24,32,0.01,16,0.2,44,0.33072441971250166,0.24950946211407446,7.6
region_america_central,M2,24,32,0.001,16,0.2,21,0.33268103697345675,0.2667433889421357,4.8
region_america_central,M2,24,64,0.01,16,0.2,22,0.343118105198284,0.2501505942051971,5.2
region_america_central,M2,24,64,0.001,16,0.2,24,0.3658820512845948,0.2747806067931438,5.5
